wallet,token_address,sol_value
8qhLfdhxxmmL9ATEvNeCzLz7tKzg49U4SXqPkg6GK4nK,8tSeXYSXzFvaDX1nbWrEFFaFuPHuWqpzksKYxQPvpump,20.81
6apxcSaR4KdxPgiCi3s14tHqqGnvj6EdtusCF88QCF6V,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,25.38
D3MpswXW5eNnejeuYZZpBouT8oC35x9pTp2GawiwuiW2,FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8,10.0
E4XHXP77bdXGpFuRZjzbXFu8KChgnXDAejeyKXsGXCe,8SgNwESovnbG1oNEaPVhg6CR9mTMSK7jPvcYRe3wpump,10.0
7kSgGjckfrdQJzGESUNwo67WjDhAPyTnCDPmWHkfgXVP,9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,20.99
7kSgGjckfrdQJzGESUNwo67WjDhAPyTnCDPmWHkfgXVP,DKu9kykSfbN5LBfFXtNNDPaX35o4Fv6vJ9FKk7pZpump,20.98
3wuUJDz65atnCpasBJH7xqBbr2iX8ejWmV177umuN3H6,FQ1tyso61AH1tzodyJfSwmzsD3GToybbRNoZxUBz21p8,28.0
CEebg4kxiGQAQ4EtqEh7SeazvzThJCZtJwPTSdgmh8Mw,AMgMqadZ7Qpe9PCQwehAG3Xbg5cf8JxCxH7sGCSupump,5.04
7kSgGjckfrdQJzGESUNwo67WjDhAPyTnCDPmWHkfgXVP,Gu3LDkn7Vx3bmCzLafYNKcDxv2mH7YN44NJZFXnypump,20.91
FVgAXkvMkp6omQJuS3Zc3mUL19Noneso4o7U59aSBqbY,5ztN73tntZbv7JC6ZzmEfXmzaUvJm6UEgNjzEfTtpump,7.0
J4z7N6knuc9WNFLtygwn7JfH4QGUx6zXy9pSSenZiKFr,ED5nyyWEzpPPiWimP8vYm7sD7TD3LAt3Q3gRTWHzPJBY,30.0
EmFh5NL5PTLkmnEjufFF4SUfix8hN3hYyezioxHXzghu,CWFa2nxUMf5d1WwKtG9FS9kjUKGwKXWSjH8hFdWspump,20.0
2ZvMiGiYQ9ieqsLeAh9DqWAU1zUoSmaWPRSZM4HBHLFb,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,10.0
HfXxd2yYCDsnf7KVcjHrMFyASsnVcctChuPCqXXyhDdw,79dV2zTZMZ9CSQj3fU4CNJKSeGfYVXeuuXX3Z3XjgpMw,5.32
Eu846MtRebT5mmhs1ApxJXpCGgSCvY5dqQwNdPbAtmWU,9qriMjPPAJTMCtfQnz7Mo9BsV2jAWTr2ff7yc3JWpump,19.91
H2gUJHq7toz84vvfSYjHtdvBj9HUKcwvGodJ8CBZeHw2,2G8LH53fcr3aCrEsmAo73eunbZRbyjKrGH5qmur6pump,25.23
H3ULqKdSDvXAz1UKQYyfauoak7ZF8ubjQtL6yPKxLVn9,4d5QPw8z8dJeXxJp4f5kns6btcwAJogTK1ZQNd42pump,9.9
AXYDBtirRMMmNZr53QWgNfCTiSUzZyw6pqDtGC8wTHKt,Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,14.61
EmFh5NL5PTLkmnEjufFF4SUfix8hN3hYyezioxHXzghu,HB8KrN7Bb3iLWUPsozp67kS4gxtbA4W5QJX4wKPvpump,20.0
4QPSY1PojH2EcC6vPGHUw2kJ2TnzXhQCsrvMgpBpp7kj,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,45.93
Eu846MtRebT5mmhs1ApxJXpCGgSCvY5dqQwNdPbAtmWU,5X742twtV5sf8ZnSWSZ3WhxHgR9wmVeQmvzpnK7Gpump,16.72
87kwAURmFkP4C3eSyGGQp9GDtdhV8rmrSRaUhy1KdBK8,4j9bDg7iWNah1Qa61rrqwWZMtEdqV3fV56SzyhfNpump,67.87
4gdHALw3yaGUFqo5d3fHnWD4kLXcvN4t3gSYFKVdFADQ,GAS9Zb72SiX5grbY9d2wXe4a4Xcbz52d8Yz9LKxMpump,10.0
HEr4Pa3gjXQavHF2VQUXCmhvYF9sE4joTMHHN8exRkEs,DtR4D9FtVoTX2569gaL837ZgrB6wNjj6tkmnX9Rdk9B2,28.3
2tSMfYjcNj1WjCuzyEQPQMyRYCKKpNq9APrUSkip67vP,CzLSujWBLFsSjncfkh59rUFqvafWcY5tzedWJSuypump,7.31
E4XHXP77bdXGpFuRZjzbXFu8KChgnXDAejeyKXsGXCe,DwDtUqBZJtbRpdjsFw3N7YKB5epocSru25BGcVhfcYtg,55.0
2QY1bc1wzNGuXEcB44bKoaVCF6XEWSwqoYtynuhS7DLn,6ogzHhzdrQr9Pgv6hZ2MNze7UrzBMAFyBBWUYp1Fhitx,16.35
7kSgGjckfrdQJzGESUNwo67WjDhAPyTnCDPmWHkfgXVP,HeJUFDxfJSzYFUuHLxkMqCgytU31G6mjP4wKviwqpump,20.9
H3ULqKdSDvXAz1UKQYyfauoak7ZF8ubjQtL6yPKxLVn9,CYERH8Vbw2Kd7MfALHMbDeUoFsqD8MeYATDv3UPUpump,19.8
